machine;size;tilew;tileh;threads;kernel;variant;tiling;iterations;schedule;places;label;arg;time;l1hits;l2hits;l3hits;dramhits
pissarro;2048;8;8;1;max;task;none;10;;cores;square;20;1130900;-1;-1;-1;-1
pissarro;2048;16;16;1;max;task;none;10;;cores;square;20;371877;-1;-1;-1;-1
pissarro;2048;32;32;1;max;task;none;10;;cores;square;20;227226;-1;-1;-1;-1
pissarro;2048;8;8;2;max;task;none;10;;cores;square;20;1256512;-1;-1;-1;-1
pissarro;2048;16;16;2;max;task;none;10;;cores;square;20;388027;-1;-1;-1;-1
pissarro;2048;32;32;2;max;task;none;10;;cores;square;20;193753;-1;-1;-1;-1
pissarro;2048;8;8;4;max;task;none;10;;cores;square;20;1559077;-1;-1;-1;-1
pissarro;2048;16;16;4;max;task;none;10;;cores;square;20;406588;-1;-1;-1;-1
pissarro;2048;32;32;4;max;task;none;10;;cores;square;20;129378;-1;-1;-1;-1
pissarro;2048;8;8;6;max;task;none;10;;cores;square;20;1606552;-1;-1;-1;-1
pissarro;2048;16;16;6;max;task;none;10;;cores;square;20;423923;-1;-1;-1;-1
pissarro;2048;32;32;6;max;task;none;10;;cores;square;20;113656;-1;-1;-1;-1
pissarro;2048;8;8;8;max;task;none;10;;cores;square;20;1604429;-1;-1;-1;-1
pissarro;2048;16;16;8;max;task;none;10;;cores;square;20;420160;-1;-1;-1;-1
pissarro;2048;32;32;8;max;task;none;10;;cores;square;20;107741;-1;-1;-1;-1
pissarro;2048;8;8;10;max;task;none;10;;cores;square;20;1648237;-1;-1;-1;-1
pissarro;2048;16;16;10;max;task;none;10;;cores;square;20;425144;-1;-1;-1;-1
pissarro;2048;32;32;10;max;task;none;10;;cores;square;20;113271;-1;-1;-1;-1
pissarro;2048;8;8;12;max;task;none;10;;cores;square;20;1771070;-1;-1;-1;-1
pissarro;2048;16;16;12;max;task;none;10;;cores;square;20;449622;-1;-1;-1;-1
