machine;size;tilew;tileh;threads;kernel;variant;tiling;iterations;schedule;places;label;arg;time;l1hits;l2hits;l3hits;dramhits
magritte;32;32;32;1;scrollup;seq;default;16384;static;cores;;none;3837;-1;-1;-1;-1
magritte;32;32;32;1;scrollup;ji;default;16384;static;cores;;none;4293;-1;-1;-1;-1
magritte;32;32;32;1;scrollup;seq;default;16384;static;cores;;none;6897;-1;-1;-1;-1
magritte;32;32;32;1;scrollup;ji;default;16384;static;cores;;none;4369;-1;-1;-1;-1
magritte;32;32;32;1;scrollup;seq;default;16384;static;cores;;none;3305;-1;-1;-1;-1
magritte;32;32;32;1;scrollup;ji;default;16384;static;cores;;none;3867;-1;-1;-1;-1
magritte;32;32;32;1;scrollup;seq;default;16384;static;cores;;none;5519;-1;-1;-1;-1
magritte;32;32;32;1;scrollup;ji;default;16384;static;cores;;none;4896;-1;-1;-1;-1
magritte;32;32;32;1;scrollup;seq;default;16384;static;cores;;none;2988;-1;-1;-1;-1
magritte;32;32;32;1;scrollup;ji;default;16384;static;cores;;none;3308;-1;-1;-1;-1
magritte;64;32;32;1;scrollup;seq;default;4096;static;cores;;none;1578;-1;-1;-1;-1
magritte;64;32;32;1;scrollup;ji;default;4096;static;cores;;none;2041;-1;-1;-1;-1
magritte;64;32;32;1;scrollup;seq;default;4096;static;cores;;none;1782;-1;-1;-1;-1
magritte;64;32;32;1;scrollup;ji;default;4096;static;cores;;none;2186;-1;-1;-1;-1
magritte;64;32;32;1;scrollup;seq;default;4096;static;cores;;none;2111;-1;-1;-1;-1
magritte;64;32;32;1;scrollup;ji;default;4096;static;cores;;none;2289;-1;-1;-1;-1
magritte;64;32;32;1;scrollup;seq;default;4096;static;cores;;none;1560;-1;-1;-1;-1
magritte;64;32;32;1;scrollup;ji;default;4096;static;cores;;none;2386;-1;-1;-1;-1
magritte;64;32;32;1;scrollup;seq;default;4096;static;cores;;none;1752;-1;-1;-1;-1
magritte;64;32;32;1;scrollup;ji;default;4096;static;cores;;none;2048;-1;-1;-1;-1
magritte;128;32;32;1;scrollup;seq;default;1024;static;cores;;none;2376;-1;-1;-1;-1
magritte;128;32;32;1;scrollup;ji;default;1024;static;cores;;none;2624;-1;-1;-1;-1
magritte;128;32;32;1;scrollup;seq;default;1024;static;cores;;none;1962;-1;-1;-1;-1
magritte;128;32;32;1;scrollup;ji;default;1024;static;cores;;none;4631;-1;-1;-1;-1
magritte;128;32;32;1;scrollup;seq;default;1024;static;cores;;none;5244;-1;-1;-1;-1
magritte;128;32;32;1;scrollup;ji;default;1024;static;cores;;none;3428;-1;-1;-1;-1
magritte;128;32;32;1;scrollup;seq;default;1024;static;cores;;none;2802;-1;-1;-1;-1
magritte;128;32;32;1;scrollup;ji;default;1024;static;cores;;none;2619;-1;-1;-1;-1
magritte;128;32;32;1;scrollup;seq;default;1024;static;cores;;none;2158;-1;-1;-1;-1
magritte;128;32;32;1;scrollup;ji;default;1024;static;cores;;none;2474;-1;-1;-1;-1
magritte;256;32;32;1;scrollup;seq;default;256;static;cores;;none;2365;-1;-1;-1;-1
magritte;256;32;32;1;scrollup;ji;default;256;static;cores;;none;2821;-1;-1;-1;-1
magritte;256;32;32;1;scrollup;seq;default;256;static;cores;;none;2424;-1;-1;-1;-1
magritte;256;32;32;1;scrollup;ji;default;256;static;cores;;none;2691;-1;-1;-1;-1
magritte;256;32;32;1;scrollup;seq;default;256;static;cores;;none;4644;-1;-1;-1;-1
magritte;256;32;32;1;scrollup;ji;default;256;static;cores;;none;2519;-1;-1;-1;-1
magritte;256;32;32;1;scrollup;seq;default;256;static;cores;;none;3101;-1;-1;-1;-1
magritte;256;32;32;1;scrollup;ji;default;256;static;cores;;none;2808;-1;-1;-1;-1
magritte;256;32;32;1;scrollup;seq;default;256;static;cores;;none;2969;-1;-1;-1;-1
magritte;256;32;32;1;scrollup;ji;default;256;static;cores;;none;2637;-1;-1;-1;-1
magritte;512;32;32;1;scrollup;seq;default;64;static;cores;;none;9121;-1;-1;-1;-1
magritte;512;32;32;1;scrollup;ji;default;64;static;cores;;none;10545;-1;-1;-1;-1
magritte;512;32;32;1;scrollup;seq;default;64;static;cores;;none;8038;-1;-1;-1;-1
magritte;512;32;32;1;scrollup;ji;default;64;static;cores;;none;7901;-1;-1;-1;-1
magritte;512;32;32;1;scrollup;seq;default;64;static;cores;;none;7652;-1;-1;-1;-1
magritte;512;32;32;1;scrollup;ji;default;64;static;cores;;none;6912;-1;-1;-1;-1
magritte;512;32;32;1;scrollup;seq;default;64;static;cores;;none;9053;-1;-1;-1;-1
magritte;512;32;32;1;scrollup;ji;default;64;static;cores;;none;7824;-1;-1;-1;-1
magritte;512;32;32;1;scrollup;seq;default;64;static;cores;;none;9475;-1;-1;-1;-1
magritte;512;32;32;1;scrollup;ji;default;64;static;cores;;none;7869;-1;-1;-1;-1
magritte;1024;32;32;1;scrollup;seq;default;16;static;cores;;none;15327;-1;-1;-1;-1
magritte;1024;32;32;1;scrollup;ji;default;16;static;cores;;none;13304;-1;-1;-1;-1
magritte;1024;32;32;1;scrollup;seq;default;16;static;cores;;none;12583;-1;-1;-1;-1
magritte;1024;32;32;1;scrollup;ji;default;16;static;cores;;none;14548;-1;-1;-1;-1
magritte;1024;32;32;1;scrollup;seq;default;16;static;cores;;none;14593;-1;-1;-1;-1
magritte;1024;32;32;1;scrollup;ji;default;16;static;cores;;none;13465;-1;-1;-1;-1
magritte;1024;32;32;1;scrollup;seq;default;16;static;cores;;none;12863;-1;-1;-1;-1
magritte;1024;32;32;1;scrollup;ji;default;16;static;cores;;none;12786;-1;-1;-1;-1
magritte;1024;32;32;1;scrollup;seq;default;16;static;cores;;none;12152;-1;-1;-1;-1
magritte;1024;32;32;1;scrollup;ji;default;16;static;cores;;none;12873;-1;-1;-1;-1
magritte;2048;32;32;1;scrollup;seq;default;4;static;cores;;none;25906;-1;-1;-1;-1
magritte;2048;32;32;1;scrollup;ji;default;4;static;cores;;none;28142;-1;-1;-1;-1
magritte;2048;32;32;1;scrollup;seq;default;4;static;cores;;none;31476;-1;-1;-1;-1
magritte;2048;32;32;1;scrollup;ji;default;4;static;cores;;none;36860;-1;-1;-1;-1
magritte;2048;32;32;1;scrollup;seq;default;4;static;cores;;none;28359;-1;-1;-1;-1
magritte;2048;32;32;1;scrollup;ji;default;4;static;cores;;none;31520;-1;-1;-1;-1
magritte;2048;32;32;1;scrollup;seq;default;4;static;cores;;none;30970;-1;-1;-1;-1
magritte;2048;32;32;1;scrollup;ji;default;4;static;cores;;none;28230;-1;-1;-1;-1
magritte;2048;32;32;1;scrollup;seq;default;4;static;cores;;none;30962;-1;-1;-1;-1
